AHPI,"Allied Healthcare Products, Inc.",NNM
AICX,Applied Imaging Corp.,NNM
AIII,"Autologic Information International, Inc.",NNM
AIMM,AutoImmune Inc.,NNM
AIND,"Arnold Industries, Inc.",NNM
AINN,Applied Innovation Inc.,NNM
AIQT,"Active IQ Technologies, Inc.",SCM
AIQTW,"Active IQ Technologies, Inc.",SCM
AIRM,Air Methods Corporation,NNM
AIRN,Airspan Networks Inc.,NNM
AIRT,"Air T, Inc.",SCM
AKAM,"Akamai Technologies, Inc.",NNM
AKLM,"Acclaim Entertainment, Inc.",SCM
AKRN,"Akorn, Inc.",NNM
AKSY,"Aksys, Ltd.",NNM
AKZOY,Akzo Nobel N.V.,NNM
ALAB,Alabama National BanCorporation,NNM
ALAN,Alanco Technologies Inc.,SCM
ALAO,Alcatel,NNM
ALBY,"Community Capital Bancshares, Inc.",SCM
ALCD,Alcide Corporation,NNM
ALCI,Allcity Insurance Company,NNM
ALCO,"Alico, Inc.",NNM
ALDA,"Aldila, Inc.",NNM
ALDN,Aladdin Knowledge Systems Limited,NNM
ALDV,Allied Devices Corporation,SCM
ALEX,"Alexander & Baldwin, Inc.",NNM
ALFA,Alfa Corporation,NNM
ALGI,"American Locker Group, Inc.",NNM
ALGN,"Align Technology, Inc.",NNM
ALGX,"Allegiance Telecom, Inc.",NNM
ALHY,Alpha Hospitality Corporation,SCM
ALKS,"Alkermes, Inc.",NNM
ALLB,Greater Delaware Valley Savings Bank,SCM
ALLE,"Allegiant Bancorp, Inc.",NNM
ALLEP,"Allegiant Bancorp, Inc.",NNM
ALLP,Alliance Pharmaceutical Corp.,NNM
ALLY,Alliance Gaming Corporation,NNM
ALNC,Alliance Financial Corporation,NNM
ALOG,Analogic Corporation,NNM
ALOT,"Astro-Med, Inc.",NNM
ALOY,"Alloy, Inc.",NNM
ALPH,"AlphaNet Solutions, Inc.",NNM
ALSC,Alliance Semiconductor Corporation,NNM
ALSK,"Alaska Communications Systems Group, Inc.",NNM
ALTH,"Allos Therapeutics, Inc.",NNM
ALTI,"Altair International, Inc.",NNM
ALTM,"Alternate Marketing Networks, Inc.",SCM
ALTR,Altera Corporation,NNM
ALVR,Alvarion Ltd.,NNM
ALXN,"Alexion Pharmaceuticals, Inc.",NNM
AMAC,American Medical Alert Corp.,SCM
AMAT,"Applied Materials, Inc.",NNM
AMBC,American Bancorporation,NNM
AMBCP,American Bancorporation,NNM
AMCC,Applied Micro Circuits Corporation,NNM
AMCE,"American Claims Evaluation, Inc.",SCM
AMCN,"American Coin Merchandising, Inc.",SCM
AMCR,Amcor Limited,NNM
AMCRP,Amcor Limited,SCM
AMCT,AMRESCO Capital Trust,NNM
AMEN,Crosswalk.com Inc.,SCM
AMEV,"Applied Molecular Evolution, Inc.",NNM
AMFC,AMB Financial Corp.,SCM
AMFH,"American Financial Holdings, Inc.",NNM
AMFI,"Amcore Financial, Inc.",NNM
AMGN,Amgen Inc.,NNM
AMGP,AMERIGROUP Corporation,NNM
AMHC,"American Healthways, Inc.",NNM
AMIE,"Ambassadors International, Inc.",NNM
AMKR,"Amkor Technology, Inc.",NNM
AMLJ,"AML Communications, Inc.",SCM
AMLN,"Amylin Pharmaceuticals, Inc.",NNM
AMMD,"American Medical Systems Holdings, Inc.",NNM
AMNB,"American National Bankshares, Inc.",NNM
AMOV,"America Movil, S.A. de C.V.",NNM
AMPB,American Pacific Bank,SCM
AMPD,"Amplidyne, Inc.",SCM
AMPH,"American Physicians Service Group, Inc.",SCM
AMPL,Ampal-American Israel Corporation,NNM
AMPLP,Ampal-American Israel Corporation,SCM
AMRB,American River Holdings,NNM
AMRI,"Albany Molecular Research, Inc.",NNM
AMRN,Amarin Corporation PLC,NNM
AMRSW,AmerUs Group Company,SCM
AMSC,American Superconductor Corporation,NNM
AMSG,Amsurg Corp.,NNM
AMSWA,"American Software, Inc.",NNM
AMSY,"American Management Systems, Incorporated",NNM
AMTA,Amistar Corporation,SCM
AMTC,Ameritrans Capital Corporation,SCM
